customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,churn_probability,churn_pred
C100016,Male,1,No,No,67,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,66.37,4396.63,No,0.5783671188554261,Yes
C100017,Female,1,No,No,9,Yes,Yes,DSL,Yes,Yes,Yes,No,No internet service,Yes,One year,Yes,Mailed check,51.4,461.83,No,0.2139022141517898,No
C100018,Male,1,Yes,No,16,Yes,No,DSL,No,Yes,No internet service,No,No,No,Month-to-month,Yes,Electronic check,40.18,649.16,Yes,0.6030426811637524,Yes
C100019,Male,1,No,No,14,No,Yes,Fiber optic,Yes,No,No,No,Yes,No,One year,No,Mailed check,59.39,791.75,No,0.3371337581486185,No
C100020,Female,1,Yes,Yes,46,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Two year,Yes,Credit card (automatic),69.28,3212.21,No,0.20173503154556863,No
C100021,Male,1,Yes,No,19,Yes,No,Fiber optic,No,No,No,No internet service,Yes,No,Month-to-month,Yes,Electronic check,63.86,1246.49,No,0.7748960002806247,Yes
C100022,Male,0,Yes,Yes,42,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,62.5,2645.11,No,0.6944266988476135,Yes
C100023,Male,1,Yes,Yes,11,No,No,No,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check,30.43,334.11,No,0.17560901834896464,No
C100024,Female,1,No,No,43,No,No,DSL,No,Yes,No,No,No,No,Two year,No,Credit card (automatic),36.53,1566.39,No,0.10151165407537306,No
C100025,Male,0,No,No,0,No,No,Fiber optic,No internet service,Yes,No,Yes,No,Yes,One year,No,Bank transfer (automatic),58.62,0.0,Yes,0.27016116087556924,No
C100026,Female,0,Yes,No,69,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),74.32,5113.9,Yes,0.44515408732725126,No
C100027,Male,1,No,No,8,Yes,No,DSL,No,No,Yes,No,Yes,No,Two year,Yes,Electronic check,55.11,477.3,No,0.31075587487952505,No
C100028,Male,1,No,Yes,52,Yes,No,DSL,No internet service,Yes,No,Yes,Yes,No,One year,No,Bank transfer (automatic),38.03,2018.26,No,0.18928116385788035,No
C100029,Female,0,Yes,Yes,53,Yes,No,No,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),32.38,1676.0,No,0.2861843099169075,No
C100030,Female,0,No,No,47,Yes,No,No,Yes,No,No internet service,Yes,Yes,Yes,One year,Yes,Electronic check,29.73,1403.4,Yes,0.33034948877873377,No
C100031,Female,0,Yes,No,30,Yes,No phone service,No,Yes,No internet service,No,No,Yes,Yes,One year,No,Credit card (automatic),29.8,878.01,No,0.13416594496304618,No
C100032,Female,1,No,Yes,30,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Mailed check,34.59,946.13,No,0.28802402548889566,No
C100033,Female,0,No,No,49,Yes,No phone service,DSL,No,No,No internet service,No,Yes,No,Month-to-month,Yes,Electronic check,50.18,2454.4,Yes,0.5567028255963383,Yes
C100034,Female,0,No,No,20,Yes,Yes,DSL,No,No,Yes,No,No,No,One year,Yes,Mailed check,50.29,1017.18,No,0.2052653923518918,No
C100035,Female,1,No,Yes,50,Yes,No,Fiber optic,No,No,No,No,Yes,No,One year,No,Bank transfer (automatic),65.63,3311.44,No,0.3273358521240863,No
C100036,Female,0,No,No,64,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,30.45,1926.65,No,0.5431272252357825,Yes
C100037,Female,1,No,No,44,Yes,No,DSL,No,No,Yes,Yes,No,No,Two year,Yes,Electronic check,34.48,1493.54,Yes,0.2705631253322125,No
C100038,Male,0,Yes,No,29,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-month,No,Electronic check,45.07,1256.2,Yes,0.4628589832146719,No
C100039,Female,1,Yes,Yes,41,Yes,No,Fiber optic,No internet service,No,No internet service,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),57.91,2357.95,Yes,0.5393834474486363,Yes
C100040,Male,1,No,No,32,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,54.52,1690.77,Yes,0.742388815378566,Yes
C100041,Male,0,No,Yes,61,Yes,No,DSL,No,No,No internet service,No,No,No,Month-to-month,Yes,Mailed check,32.09,1944.54,Yes,0.29671070074339145,No
C100042,Female,0,No,No,52,Yes,Yes,No,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,24.4,1234.4,No,0.4480043900891834,No
C100043,Male,0,No,Yes,5,Yes,No,No,No internet service,Yes,No internet service,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),44.02,211.45,Yes,0.3081002295296995,No
C100044,Female,0,No,Yes,65,Yes,Yes,Fiber optic,No,Yes,No,No internet service,No,No,Month-to-month,Yes,Electronic check,53.02,3459.61,No,0.6703338741358382,Yes
C100045,Female,1,No,No,22,Yes,No phone service,DSL,Yes,No,Yes,No,No,No,One year,Yes,Bank transfer (automatic),44.47,958.8,Yes,0.23669953718081263,No
C100046,Male,1,No,Yes,63,Yes,No phone service,Fiber optic,Yes,No,No,Yes,No,Yes,One year,No,Electronic check,67.23,4288.28,Yes,0.527443471770945,Yes
C100047,Male,0,No,No,0,Yes,No,Fiber optic,Yes,No internet service,Yes,Yes,Yes,No internet service,Month-to-month,Yes,Electronic check,70.5,0.0,Yes,0.7880585085054898,Yes
C100048,Male,0,No,No,11,Yes,No,DSL,No,Yes,Yes,Yes,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),38.71,401.9,No,0.3795692013221905,No
C100049,Male,1,No,No,32,Yes,No,DSL,No,Yes,Yes,No,No,Yes,Two year,Yes,Electronic check,44.28,1424.03,No,0.2637339299882071,No
C100050,Male,1,No,No,5,Yes,No,DSL,Yes,Yes,No internet service,No,Yes,Yes,One year,Yes,Electronic check,47.89,228.19,No,0.43150505629137736,No
C100051,Female,0,No,Yes,63,Yes,No,Fiber optic,No,Yes,No,No internet service,Yes,No,Two year,No,Bank transfer (automatic),64.02,4107.21,No,0.14533079560176515,No
C100052,Female,0,Yes,No,13,Yes,Yes,Fiber optic,No,No,No,No internet service,Yes,No,Month-to-month,No,Electronic check,71.5,902.53,No,0.686239874250904,Yes
C100053,Male,0,No,No,38,No,No,DSL,No,No internet service,No,No,No,Yes,One year,No,Electronic check,43.99,1672.54,No,0.31881351867383184,No
C100054,Female,0,Yes,No,52,Yes,No,DSL,No,No internet service,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,52.98,2733.04,Yes,0.4976517939175705,No
C100055,Female,1,No,No,62,Yes,Yes,DSL,No,No,Yes,No internet service,No,No,Month-to-month,No,Electronic check,45.5,2805.08,No,0.5940715651892614,Yes
C100056,Female,1,No,No,1,Yes,Yes,DSL,No,No internet service,No,No,Yes,No,Month-to-month,Yes,Electronic check,42.84,102.77,No,0.6535608741167307,Yes
C100057,Female,0,No,No,44,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Bank transfer (automatic),66.38,2946.93,Yes,0.34441016336253083,No
C100058,Male,0,No,No,68,Yes,No,DSL,Yes,No,No,No,No,Yes,One year,Yes,Electronic check,44.2,3028.26,No,0.3454157485370484,No
C100059,Female,0,No,No,3,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),52.86,168.87,No,0.32631169550590244,No
C100060,Male,1,No,No,15,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,54.88,773.49,No,0.6753638934609839,Yes
C100061,Male,0,No,Yes,6,Yes,No phone service,Fiber optic,Yes,No,No,No,No,No,One year,No,Credit card (automatic),60.88,317.56,No,0.27260551795022964,No
C100062,Male,1,No,Yes,50,Yes,Yes,Fiber optic,No internet service,No,Yes,Yes,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),68.86,3446.92,Yes,0.5916445011978585,Yes
C100063,Male,1,Yes,Yes,48,Yes,Yes,Fiber optic,No,No,Yes,Yes,No internet service,No,One year,Yes,Bank transfer (automatic),61.82,2992.01,No,0.39152341490190273,No
C100064,Female,1,Yes,No,69,Yes,Yes,DSL,No,Yes,No,No internet service,No,No,Month-to-month,Yes,Electronic check,39.35,2721.63,No,0.5961535644810233,Yes
C100065,Male,0,No,No,69,Yes,Yes,Fiber optic,No,No,No internet service,No,No,No internet service,Month-to-month,Yes,Credit card (automatic),59.95,4141.64,Yes,0.5773867933695669,Yes
C100066,Male,0,No,No,18,Yes,Yes,No,No,No internet service,No,Yes,No internet service,No,Two year,No,Electronic check,28.03,519.91,No,0.193955913631778,No
C100067,Male,0,No,No,11,Yes,No phone service,Fiber optic,No internet service,Yes,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,81.76,863.22,Yes,0.7045177140159138,Yes
C100068,Female,1,No,No,29,Yes,Yes,DSL,No,Yes,No,No,No,Yes,One year,No,Electronic check,41.0,1256.5,No,0.3522218991841322,No
C100069,Female,0,No,Yes,67,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Two year,Yes,Electronic check,65.73,4370.69,No,0.318158625661765,No
C100070,Female,1,No,Yes,24,Yes,Yes,DSL,No,No,No,No internet service,No,No,Month-to-month,Yes,Credit card (automatic),42.64,1020.6,No,0.4094025820408065,No
C100071,Male,0,No,No,50,No,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),64.31,3201.06,No,0.20018000585568832,No
C100072,Female,1,No,Yes,47,Yes,No,DSL,No internet service,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,48.23,2272.52,Yes,0.5378702437270714,Yes
C100073,Male,0,Yes,Yes,10,Yes,Yes,Fiber optic,Yes,No internet service,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),75.11,669.69,No,0.5704158060948742,Yes
C100074,Male,1,No,No,25,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,One year,No,Mailed check,68.25,1702.92,Yes,0.4159717916308433,No
C100075,Male,0,No,No,21,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,79.35,1721.37,Yes,0.7144956535664759,Yes
C100076,Female,0,No,No,58,No,No phone service,Fiber optic,Yes,No internet service,No,Yes,No internet service,Yes,One year,Yes,Bank transfer (automatic),63.94,3707.91,No,0.31716665869052135,No
C100077,Female,1,Yes,Yes,61,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,65.58,3981.51,Yes,0.7011794563982223,Yes
C100078,Female,1,Yes,No,26,Yes,No,No,No,Yes,No,No,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),32.29,855.94,No,0.34413786188762197,No
C100079,Male,0,No,No,62,Yes,Yes,Fiber optic,No,No internet service,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),69.7,4321.06,No,0.2691072112915379,No
C100080,Female,0,Yes,No,39,No,Yes,DSL,Yes,No internet service,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),50.82,1975.3,No,0.10415697534041492,No
C100081,Male,0,No,No,50,No,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),64.0,3247.86,Yes,0.5443822849056867,Yes
C100082,Female,1,Yes,No,52,Yes,No,DSL,Yes,Yes,Yes,No,Yes,No,One year,Yes,Electronic check,45.27,2354.81,No,0.3898844432007643,No
C100083,Female,1,No,No,69,Yes,Yes,Fiber optic,No,Yes,Yes,No internet service,No,No,Month-to-month,No,Electronic check,47.37,3289.59,Yes,0.716291180696761,Yes
C100084,Male,0,Yes,No,17,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),66.89,1128.11,Yes,0.5362825295540526,Yes
C100085,Female,0,No,No,57,Yes,Yes,DSL,No,No,No internet service,No,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),54.21,3049.21,No,0.3532465620832642,No
C100086,Female,1,Yes,No,44,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,No internet service,Two year,Yes,Credit card (automatic),61.04,2678.76,No,0.2540424470982258,No
C100087,Female,1,Yes,No,67,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Mailed check,66.82,4386.77,Yes,0.5067012765466998,Yes
C100088,Female,0,No,No,16,Yes,No,DSL,No internet service,No,No,Yes,No internet service,No,Month-to-month,Yes,Electronic check,51.27,818.85,No,0.533495601088345,Yes
C100089,Female,1,No,No,28,No,No,Fiber optic,Yes,Yes,Yes,Yes,No internet service,No internet service,Month-to-month,Yes,Mailed check,60.52,1781.15,No,0.5288152499064906,Yes
C100090,Male,1,Yes,Yes,50,Yes,No,Fiber optic,No,Yes,No internet service,No internet service,No,No,One year,No,Electronic check,58.99,2913.27,No,0.519260186081809,Yes
C100091,Female,0,No,No,32,Yes,No,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),50.55,1578.39,No,0.36558778457026564,No
C100092,Male,0,No,No,13,No,No,Fiber optic,No,Yes,No,No internet service,Yes,Yes,One year,Yes,Credit card (automatic),69.06,929.98,No,0.3585513041754026,No
C100093,Male,0,Yes,Yes,23,Yes,No,DSL,No,No,Yes,No,No,No internet service,Month-to-month,No,Electronic check,36.96,860.83,No,0.4154973824533167,No
C100094,Male,1,Yes,Yes,1,Yes,No,No,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,26.22,15.33,No,0.4985996998794978,No
C100095,Female,1,No,No,15,Yes,No,Fiber optic,Yes,Yes,No,No,No internet service,Yes,Two year,No,Electronic check,67.66,1085.48,No,0.3300786527665108,No
C100096,Female,1,Yes,No,6,Yes,Yes,No,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,34.4,263.74,No,0.3489384703162491,No
C100097,Female,1,Yes,No,22,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),68.32,1514.97,No,0.5933051429398795,Yes
C100098,Female,0,No,No,4,Yes,No,DSL,No,No,No,No internet service,No,No internet service,Month-to-month,Yes,Electronic check,34.64,89.87,No,0.5060048589680165,Yes
C100099,Female,1,Yes,No,10,Yes,No,DSL,No,Yes,Yes,No,No,Yes,One year,No,Credit card (automatic),51.53,454.37,No,0.2005435522427726,No
C100100,Female,0,No,No,40,Yes,No,Fiber optic,No,No internet service,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),67.75,2702.27,Yes,0.5578880115039612,Yes
C100101,Male,1,No,No,69,Yes,Yes,DSL,No,Yes,No internet service,Yes,No,Yes,One year,Yes,Credit card (automatic),52.75,3672.25,Yes,0.32538198094918025,No
C100102,Female,0,Yes,No,43,No,No,Fiber optic,No,No internet service,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,71.78,3066.78,No,0.7003763339174178,Yes
C100103,Female,1,No,No,45,Yes,No,DSL,No internet service,No,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),50.93,2281.41,No,0.3611127906092134,No
C100104,Male,1,Yes,Yes,71,Yes,No phone service,No,Yes,No,No,No internet service,Yes,Yes,Month-to-month,No,Credit card (automatic),27.42,1960.17,No,0.2763964708710165,No
C100105,Male,1,No,No,69,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,No,One year,Yes,Electronic check,61.74,4211.79,Yes,0.6617773978183286,Yes
C100106,Female,1,Yes,Yes,14,Yes,No,DSL,Yes,Yes,Yes,No,No,No internet service,One year,Yes,Bank transfer (automatic),28.66,424.78,No,0.16239344591226096,No
C100107,Male,1,Yes,No,10,Yes,Yes,DSL,No,No internet service,Yes,No internet service,No,No,Month-to-month,No,Electronic check,30.25,303.42,Yes,0.5784974055390135,Yes
C100108,Female,0,No,No,65,Yes,No,DSL,Yes,No,No internet service,No,No internet service,No internet service,Month-to-month,Yes,Mailed check,33.93,2207.5,No,0.27695013219477427,No
C100109,Male,0,Yes,No,45,Yes,Yes,DSL,Yes,Yes,No internet service,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,52.25,2316.57,Yes,0.5740938339665949,Yes
C100110,Male,0,No,No,52,Yes,No,No,No,No internet service,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,38.83,2029.75,No,0.5916214149656152,Yes
C100111,Male,0,Yes,No,32,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,38.81,1247.95,No,0.26664366685620505,No
C100112,Male,0,No,No,16,No,No,DSL,No,No,No,Yes,No,Yes,One year,No,Electronic check,38.23,641.54,No,0.2941736942910977,No
C100113,Female,0,Yes,Yes,66,Yes,No,DSL,Yes,Yes,No,No internet service,Yes,No,Month-to-month,Yes,Credit card (automatic),47.06,3098.49,Yes,0.2954921299517291,No
C100114,Male,1,No,No,43,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Two year,No,Electronic check,73.75,3150.25,No,0.4027695558788787,No
C100115,Male,1,No,No,1,Yes,Yes,Fiber optic,No internet service,Yes,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),56.19,33.48,Yes,0.6422997679612584,Yes
C100116,Female,1,No,No,11,Yes,No,Fiber optic,No,Yes,Yes,No,No internet service,Yes,Month-to-month,No,Mailed check,59.7,688.88,No,0.46417776691318463,No
C100117,Female,1,Yes,No,44,Yes,Yes,Fiber optic,No internet service,No internet service,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),73.41,3195.61,Yes,0.6133884360060474,Yes
C100118,Male,1,Yes,Yes,38,Yes,No,DSL,No,No,No,Yes,No,No,One year,Yes,Electronic check,33.56,1318.27,Yes,0.38207148131776386,No
C100119,Female,1,No,Yes,38,Yes,Yes,Fiber optic,No internet service,Yes,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),80.29,3044.52,No,0.5159666301636351,Yes
C100120,Male,0,No,No,70,Yes,Yes,Fiber optic,Yes,No,No internet service,No,No,No,Month-to-month,Yes,Credit card (automatic),51.96,3595.53,Yes,0.5555088485142768,Yes
C100121,Female,0,Yes,No,3,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),54.14,197.13,No,0.14069464442341473,No
C100122,Male,0,No,No,69,Yes,Yes,No,No internet service,No,No,No,No,No,One year,Yes,Mailed check,27.08,1837.53,No,0.1723314221352634,No
C100123,Female,1,No,No,34,Yes,Yes,Fiber optic,No,No internet service,No internet service,Yes,Yes,No,Month-to-month,Yes,Electronic check,75.21,2594.85,No,0.8485502107107917,Yes
C100124,Female,1,No,No,67,Yes,No,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Mailed check,40.96,2757.08,No,0.34602909969263834,No
C100125,Female,0,Yes,Yes,21,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),63.95,1343.5,Yes,0.4514644592175346,No
C100126,Female,1,Yes,Yes,49,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,One year,Yes,Mailed check,67.04,3236.54,Yes,0.34894916134355186,No
C100127,Male,0,No,Yes,21,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,No,Two year,No,Credit card (automatic),62.22,1331.15,No,0.15911101694154045,No
C100128,Female,0,No,No,31,Yes,Yes,DSL,No,Yes,Yes,No internet service,No,No,Month-to-month,Yes,Bank transfer (automatic),49.77,1536.52,No,0.38029597498708356,No
C100129,Male,1,Yes,Yes,3,No,Yes,Fiber optic,Yes,No,No internet service,Yes,Yes,No internet service,One year,Yes,Credit card (automatic),60.89,132.75,No,0.4044372207441853,No
C100130,Male,0,Yes,No,9,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),70.51,664.58,No,0.3476650225183407,No
C100131,Male,0,Yes,Yes,60,Yes,No,DSL,Yes,No internet service,Yes,Yes,No,No internet service,One year,No,Electronic check,36.53,2157.77,No,0.2979351917591732,No
C100132,Male,1,No,No,49,Yes,Yes,DSL,No internet service,Yes,No internet service,No,Yes,Yes,One year,No,Bank transfer (automatic),48.05,2318.52,Yes,0.22146543970691476,No
C100133,Male,0,No,No,14,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),56.89,750.25,Yes,0.42309039322707076,No
C100134,Female,1,Yes,No,34,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,54.51,1745.71,No,0.7537543234499751,Yes
C100135,Male,1,No,Yes,66,Yes,No,DSL,No,No internet service,No internet service,Yes,No internet service,Yes,Month-to-month,Yes,Electronic check,43.67,2884.48,No,0.6281118818672705,Yes
C100136,Male,0,No,No,70,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),32.54,2297.53,No,0.36272589914224135,No
C100137,Female,1,No,No,10,Yes,Yes,DSL,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),42.63,487.47,No,0.4229922793282322,No
C100138,Female,0,Yes,No,1,Yes,Yes,No,No,Yes,No,No,No internet service,Yes,One year,Yes,Mailed check,33.31,33.59,No,0.1289966236887738,No
C100139,Male,1,Yes,No,64,Yes,No phone service,DSL,Yes,No,No,Yes,Yes,No,One year,Yes,Bank transfer (automatic),42.27,2721.03,Yes,0.24797594445202553,No
C100140,Male,1,Yes,No,4,No,No,Fiber optic,No internet service,No,No,No,No,No,Month-to-month,Yes,Electronic check,58.87,218.3,Yes,0.7270474470420437,Yes
C100141,Female,0,No,Yes,70,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),72.12,5122.8,No,0.3042875493122723,No
C100142,Male,1,Yes,No,63,Yes,No,Fiber optic,No,No,Yes,No,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),65.24,4168.91,Yes,0.5701129290367573,Yes
C100143,Male,1,Yes,No,35,No,Yes,No,No,No,No,Yes,Yes,No internet service,Month-to-month,Yes,Electronic check,18.11,633.23,Yes,0.5579462487555705,Yes
C100144,Male,0,Yes,No,62,No,Yes,Fiber optic,No,No,No,Yes,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),65.72,4047.71,No,0.5151353129437519,Yes
C100145,Female,1,No,No,62,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,48.91,2991.76,No,0.4004718506171862,No
C100146,Male,0,No,Yes,68,Yes,No,Fiber optic,No internet service,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,75.68,5205.21,No,0.4041158872418033,No
C100147,Female,0,Yes,No,18,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,69.49,1240.53,Yes,0.709052015805631,Yes
C100148,Female,1,Yes,No,58,Yes,No phone service,DSL,No,No,No,No,No,No,One year,No,Bank transfer (automatic),38.16,2158.6,No,0.1787768717091928,No
C100149,Male,0,No,No,10,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,41.07,417.58,Yes,0.5651723331563177,Yes
C100150,Female,0,Yes,No,28,Yes,No,No,Yes,No internet service,Yes,No,No,No,Month-to-month,Yes,Electronic check,25.44,676.04,Yes,0.49024271151557464,No
C100151,Female,1,No,Yes,53,Yes,Yes,DSL,No,Yes,Yes,No internet service,Yes,No,Month-to-month,Yes,Electronic check,45.75,2450.86,Yes,0.6022685665244494,Yes
C100152,Male,1,No,No,32,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,75.41,2387.91,Yes,0.8216104552686853,Yes
C100153,Female,0,Yes,No,41,Yes,No phone service,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,No,Mailed check,45.84,1827.18,No,0.24677374804118804,No
C100154,Female,1,No,Yes,39,Yes,Yes,No,No,Yes,No,No internet service,No internet service,No,One year,Yes,Mailed check,25.22,991.89,No,0.17057963012319063,No
C100155,Female,0,Yes,No,62,No,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,68.86,4240.3,No,0.5270925497029421,Yes
C100156,Female,1,Yes,No,15,Yes,Yes,DSL,No,No,Yes,No internet service,No,No,Month-to-month,Yes,Credit card (automatic),38.8,554.8,No,0.41622775113699945,No
