customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
C100013,Male,1,Yes,No,4,Yes,No,DSL,Yes,No,No internet service,No,No,No,One year,No,Credit card (automatic),35.57,155.1,No
C100014,Male,1,No,No,42,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),68.78,2873.84,Yes
C100015,Female,0,No,Yes,35,Yes,No,DSL,No,No,No internet service,No,No,No,One year,Yes,Electronic check,50.62,1700.97,Yes
C100016,Male,1,No,No,67,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,66.37,4396.63,No
C100017,Female,1,No,No,9,Yes,Yes,DSL,Yes,Yes,Yes,No,No internet service,Yes,One year,Yes,Mailed check,51.4,461.83,No
C100018,Male,1,Yes,No,16,Yes,No,DSL,No,Yes,No internet service,No,No,No,Month-to-month,Yes,Electronic check,40.18,649.16,Yes
C100019,Male,1,No,No,14,No,Yes,Fiber optic,Yes,No,No,No,Yes,No,One year,No,Mailed check,59.39,791.75,No
C100020,Female,1,Yes,Yes,46,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Two year,Yes,Credit card (automatic),69.28,3212.21,No
C100021,Male,1,Yes,No,19,Yes,No,Fiber optic,No,No,No,No internet service,Yes,No,Month-to-month,Yes,Electronic check,63.86,1246.49,No
C100022,Male,0,Yes,Yes,42,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,62.5,2645.11,No
C100023,Male,1,Yes,Yes,11,No,No,No,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check,30.43,334.11,No
C100024,Female,1,No,No,43,No,No,DSL,No,Yes,No,No,No,No,Two year,No,Credit card (automatic),36.53,1566.39,No
C100025,Male,0,No,No,0,No,No,Fiber optic,No internet service,Yes,No,Yes,No,Yes,One year,No,Bank transfer (automatic),58.62,0.0,Yes
C100026,Female,0,Yes,No,69,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),74.32,5113.9,Yes
C100027,Male,1,No,No,8,Yes,No,DSL,No,No,Yes,No,Yes,No,Two year,Yes,Electronic check,55.11,477.3,No
C100028,Male,1,No,Yes,52,Yes,No,DSL,No internet service,Yes,No,Yes,Yes,No,One year,No,Bank transfer (automatic),38.03,2018.26,No
C100029,Female,0,Yes,Yes,53,Yes,No,No,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),32.38,1676.0,No
C100030,Female,0,No,No,47,Yes,No,No,Yes,No,No internet service,Yes,Yes,Yes,One year,Yes,Electronic check,29.73,1403.4,Yes
C100031,Female,0,Yes,No,30,Yes,No phone service,No,Yes,No internet service,No,No,Yes,Yes,One year,No,Credit card (automatic),29.8,878.01,No
C100032,Female,1,No,Yes,30,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Mailed check,34.59,946.13,No
C100033,Female,0,No,No,49,Yes,No phone service,DSL,No,No,No internet service,No,Yes,No,Month-to-month,Yes,Electronic check,50.18,2454.4,Yes
C100034,Female,0,No,No,20,Yes,Yes,DSL,No,No,Yes,No,No,No,One year,Yes,Mailed check,50.29,1017.18,No
C100035,Female,1,No,Yes,50,Yes,No,Fiber optic,No,No,No,No,Yes,No,One year,No,Bank transfer (automatic),65.63,3311.44,No
C100036,Female,0,No,No,64,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,30.45,1926.65,No
C100037,Female,1,No,No,44,Yes,No,DSL,No,No,Yes,Yes,No,No,Two year,Yes,Electronic check,34.48,1493.54,Yes
C100038,Male,0,Yes,No,29,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-month,No,Electronic check,45.07,1256.2,Yes
C100039,Female,1,Yes,Yes,41,Yes,No,Fiber optic,No internet service,No,No internet service,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),57.91,2357.95,Yes
C100040,Male,1,No,No,32,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,54.52,1690.77,Yes
C100041,Male,0,No,Yes,61,Yes,No,DSL,No,No,No internet service,No,No,No,Month-to-month,Yes,Mailed check,32.09,1944.54,Yes
C100042,Female,0,No,No,52,Yes,Yes,No,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,24.4,1234.4,No
C100043,Male,0,No,Yes,5,Yes,No,No,No internet service,Yes,No internet service,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),44.02,211.45,Yes
C100044,Female,0,No,Yes,65,Yes,Yes,Fiber optic,No,Yes,No,No internet service,No,No,Month-to-month,Yes,Electronic check,53.02,3459.61,No
C100045,Female,1,No,No,22,Yes,No phone service,DSL,Yes,No,Yes,No,No,No,One year,Yes,Bank transfer (automatic),44.47,958.8,Yes
C100046,Male,1,No,Yes,63,Yes,No phone service,Fiber optic,Yes,No,No,Yes,No,Yes,One year,No,Electronic check,67.23,4288.28,Yes
C100047,Male,0,No,No,0,Yes,No,Fiber optic,Yes,No internet service,Yes,Yes,Yes,No internet service,Month-to-month,Yes,Electronic check,70.5,0.0,Yes
C100048,Male,0,No,No,11,Yes,No,DSL,No,Yes,Yes,Yes,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),38.71,401.9,No
C100049,Male,1,No,No,32,Yes,No,DSL,No,Yes,Yes,No,No,Yes,Two year,Yes,Electronic check,44.28,1424.03,No
C100050,Male,1,No,No,5,Yes,No,DSL,Yes,Yes,No internet service,No,Yes,Yes,One year,Yes,Electronic check,47.89,228.19,No
C100051,Female,0,No,Yes,63,Yes,No,Fiber optic,No,Yes,No,No internet service,Yes,No,Two year,No,Bank transfer (automatic),64.02,4107.21,No
C100052,Female,0,Yes,No,13,Yes,Yes,Fiber optic,No,No,No,No internet service,Yes,No,Month-to-month,No,Electronic check,71.5,902.53,No
C100053,Male,0,No,No,38,No,No,DSL,No,No internet service,No,No,No,Yes,One year,No,Electronic check,43.99,1672.54,No
C100054,Female,0,Yes,No,52,Yes,No,DSL,No,No internet service,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,52.98,2733.04,Yes
C100055,Female,1,No,No,62,Yes,Yes,DSL,No,No,Yes,No internet service,No,No,Month-to-month,No,Electronic check,45.5,2805.08,No
C100056,Female,1,No,No,1,Yes,Yes,DSL,No,No internet service,No,No,Yes,No,Month-to-month,Yes,Electronic check,42.84,102.77,No
C100057,Female,0,No,No,44,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Bank transfer (automatic),66.38,2946.93,Yes
C100058,Male,0,No,No,68,Yes,No,DSL,Yes,No,No,No,No,Yes,One year,Yes,Electronic check,44.2,3028.26,No
C100059,Female,0,No,No,3,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),52.86,168.87,No
C100060,Male,1,No,No,15,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,54.88,773.49,No
C100061,Male,0,No,Yes,6,Yes,No phone service,Fiber optic,Yes,No,No,No,No,No,One year,No,Credit card (automatic),60.88,317.56,No
C100062,Male,1,No,Yes,50,Yes,Yes,Fiber optic,No internet service,No,Yes,Yes,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),68.86,3446.92,Yes
C100063,Male,1,Yes,Yes,48,Yes,Yes,Fiber optic,No,No,Yes,Yes,No internet service,No,One year,Yes,Bank transfer (automatic),61.82,2992.01,No
C100064,Female,1,Yes,No,69,Yes,Yes,DSL,No,Yes,No,No internet service,No,No,Month-to-month,Yes,Electronic check,39.35,2721.63,No
C100065,Male,0,No,No,69,Yes,Yes,Fiber optic,No,No,No internet service,No,No,No internet service,Month-to-month,Yes,Credit card (automatic),59.95,4141.64,Yes
C100066,Male,0,No,No,18,Yes,Yes,No,No,No internet service,No,Yes,No internet service,No,Two year,No,Electronic check,28.03,519.91,No
C100067,Male,0,No,No,11,Yes,No phone service,Fiber optic,No internet service,Yes,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,81.76,863.22,Yes
C100068,Female,1,No,No,29,Yes,Yes,DSL,No,Yes,No,No,No,Yes,One year,No,Electronic check,41.0,1256.5,No
C100069,Female,0,No,Yes,67,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Two year,Yes,Electronic check,65.73,4370.69,No
C100070,Female,1,No,Yes,24,Yes,Yes,DSL,No,No,No,No internet service,No,No,Month-to-month,Yes,Credit card (automatic),42.64,1020.6,No
C100071,Male,0,No,No,50,No,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),64.31,3201.06,No
C100072,Female,1,No,Yes,47,Yes,No,DSL,No internet service,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,48.23,2272.52,Yes
C100073,Male,0,Yes,Yes,10,Yes,Yes,Fiber optic,Yes,No internet service,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),75.11,669.69,No
C100074,Male,1,No,No,25,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,One year,No,Mailed check,68.25,1702.92,Yes
C100075,Male,0,No,No,21,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,79.35,1721.37,Yes
C100076,Female,0,No,No,58,No,No phone service,Fiber optic,Yes,No internet service,No,Yes,No internet service,Yes,One year,Yes,Bank transfer (automatic),63.94,3707.91,No
C100077,Female,1,Yes,Yes,61,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,65.58,3981.51,Yes
C100078,Female,1,Yes,No,26,Yes,No,No,No,Yes,No,No,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),32.29,855.94,No
C100079,Male,0,No,No,62,Yes,Yes,Fiber optic,No,No internet service,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),69.7,4321.06,No
C100080,Female,0,Yes,No,39,No,Yes,DSL,Yes,No internet service,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),50.82,1975.3,No
C100081,Male,0,No,No,50,No,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),64.0,3247.86,Yes
C100082,Female,1,Yes,No,52,Yes,No,DSL,Yes,Yes,Yes,No,Yes,No,One year,Yes,Electronic check,45.27,2354.81,No
C100083,Female,1,No,No,69,Yes,Yes,Fiber optic,No,Yes,Yes,No internet service,No,No,Month-to-month,No,Electronic check,47.37,3289.59,Yes
C100084,Male,0,Yes,No,17,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),66.89,1128.11,Yes
C100085,Female,0,No,No,57,Yes,Yes,DSL,No,No,No internet service,No,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),54.21,3049.21,No
C100086,Female,1,Yes,No,44,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,No internet service,Two year,Yes,Credit card (automatic),61.04,2678.76,No
C100087,Female,1,Yes,No,67,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Mailed check,66.82,4386.77,Yes
C100088,Female,0,No,No,16,Yes,No,DSL,No internet service,No,No,Yes,No internet service,No,Month-to-month,Yes,Electronic check,51.27,818.85,No
C100089,Female,1,No,No,28,No,No,Fiber optic,Yes,Yes,Yes,Yes,No internet service,No internet service,Month-to-month,Yes,Mailed check,60.52,1781.15,No
C100090,Male,1,Yes,Yes,50,Yes,No,Fiber optic,No,Yes,No internet service,No internet service,No,No,One year,No,Electronic check,58.99,2913.27,No
C100091,Female,0,No,No,32,Yes,No,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),50.55,1578.39,No
C100092,Male,0,No,No,13,No,No,Fiber optic,No,Yes,No,No internet service,Yes,Yes,One year,Yes,Credit card (automatic),69.06,929.98,No
C100093,Male,0,Yes,Yes,23,Yes,No,DSL,No,No,Yes,No,No,No internet service,Month-to-month,No,Electronic check,36.96,860.83,No
C100094,Male,1,Yes,Yes,1,Yes,No,No,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,26.22,15.33,No
C100095,Female,1,No,No,15,Yes,No,Fiber optic,Yes,Yes,No,No,No internet service,Yes,Two year,No,Electronic check,67.66,1085.48,No
C100096,Female,1,Yes,No,6,Yes,Yes,No,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,34.4,263.74,No
C100097,Female,1,Yes,No,22,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),68.32,1514.97,No
C100098,Female,0,No,No,4,Yes,No,DSL,No,No,No,No internet service,No,No internet service,Month-to-month,Yes,Electronic check,34.64,89.87,No
C100099,Female,1,Yes,No,10,Yes,No,DSL,No,Yes,Yes,No,No,Yes,One year,No,Credit card (automatic),51.53,454.37,No
C100100,Female,0,No,No,40,Yes,No,Fiber optic,No,No internet service,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),67.75,2702.27,Yes
C100101,Male,1,No,No,69,Yes,Yes,DSL,No,Yes,No internet service,Yes,No,Yes,One year,Yes,Credit card (automatic),52.75,3672.25,Yes
C100102,Female,0,Yes,No,43,No,No,Fiber optic,No,No internet service,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,71.78,3066.78,No
C100103,Female,1,No,No,45,Yes,No,DSL,No internet service,No,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),50.93,2281.41,No
C100104,Male,1,Yes,Yes,71,Yes,No phone service,No,Yes,No,No,No internet service,Yes,Yes,Month-to-month,No,Credit card (automatic),27.42,1960.17,No
C100105,Male,1,No,No,69,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,No,One year,Yes,Electronic check,61.74,4211.79,Yes
C100106,Female,1,Yes,Yes,14,Yes,No,DSL,Yes,Yes,Yes,No,No,No internet service,One year,Yes,Bank transfer (automatic),28.66,424.78,No
C100107,Male,1,Yes,No,10,Yes,Yes,DSL,No,No internet service,Yes,No internet service,No,No,Month-to-month,No,Electronic check,30.25,303.42,Yes
C100108,Female,0,No,No,65,Yes,No,DSL,Yes,No,No internet service,No,No internet service,No internet service,Month-to-month,Yes,Mailed check,33.93,2207.5,No
C100109,Male,0,Yes,No,45,Yes,Yes,DSL,Yes,Yes,No internet service,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,52.25,2316.57,Yes
C100110,Male,0,No,No,52,Yes,No,No,No,No internet service,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,38.83,2029.75,No
C100111,Male,0,Yes,No,32,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,38.81,1247.95,No
C100112,Male,0,No,No,16,No,No,DSL,No,No,No,Yes,No,Yes,One year,No,Electronic check,38.23,641.54,No
C100113,Female,0,Yes,Yes,66,Yes,No,DSL,Yes,Yes,No,No internet service,Yes,No,Month-to-month,Yes,Credit card (automatic),47.06,3098.49,Yes
C100114,Male,1,No,No,43,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Two year,No,Electronic check,73.75,3150.25,No
C100115,Male,1,No,No,1,Yes,Yes,Fiber optic,No internet service,Yes,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),56.19,33.48,Yes
C100116,Female,1,No,No,11,Yes,No,Fiber optic,No,Yes,Yes,No,No internet service,Yes,Month-to-month,No,Mailed check,59.7,688.88,No
C100117,Female,1,Yes,No,44,Yes,Yes,Fiber optic,No internet service,No internet service,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),73.41,3195.61,Yes
C100118,Male,1,Yes,Yes,38,Yes,No,DSL,No,No,No,Yes,No,No,One year,Yes,Electronic check,33.56,1318.27,Yes
C100119,Female,1,No,Yes,38,Yes,Yes,Fiber optic,No internet service,Yes,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),80.29,3044.52,No
C100120,Male,0,No,No,70,Yes,Yes,Fiber optic,Yes,No,No internet service,No,No,No,Month-to-month,Yes,Credit card (automatic),51.96,3595.53,Yes
C100121,Female,0,Yes,No,3,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),54.14,197.13,No
C100122,Male,0,No,No,69,Yes,Yes,No,No internet service,No,No,No,No,No,One year,Yes,Mailed check,27.08,1837.53,No
C100123,Female,1,No,No,34,Yes,Yes,Fiber optic,No,No internet service,No internet service,Yes,Yes,No,Month-to-month,Yes,Electronic check,75.21,2594.85,No
C100124,Female,1,No,No,67,Yes,No,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Mailed check,40.96,2757.08,No
C100125,Female,0,Yes,Yes,21,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),63.95,1343.5,Yes
C100126,Female,1,Yes,Yes,49,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,One year,Yes,Mailed check,67.04,3236.54,Yes
C100127,Male,0,No,Yes,21,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,No,Two year,No,Credit card (automatic),62.22,1331.15,No
C100128,Female,0,No,No,31,Yes,Yes,DSL,No,Yes,Yes,No internet service,No,No,Month-to-month,Yes,Bank transfer (automatic),49.77,1536.52,No
C100129,Male,1,Yes,Yes,3,No,Yes,Fiber optic,Yes,No,No internet service,Yes,Yes,No internet service,One year,Yes,Credit card (automatic),60.89,132.75,No
C100130,Male,0,Yes,No,9,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),70.51,664.58,No
C100131,Male,0,Yes,Yes,60,Yes,No,DSL,Yes,No internet service,Yes,Yes,No,No internet service,One year,No,Electronic check,36.53,2157.77,No
C100132,Male,1,No,No,49,Yes,Yes,DSL,No internet service,Yes,No internet service,No,Yes,Yes,One year,No,Bank transfer (automatic),48.05,2318.52,Yes
C100133,Male,0,No,No,14,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),56.89,750.25,Yes
C100134,Female,1,Yes,No,34,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,54.51,1745.71,No
C100135,Male,1,No,Yes,66,Yes,No,DSL,No,No internet service,No internet service,Yes,No internet service,Yes,Month-to-month,Yes,Electronic check,43.67,2884.48,No
C100136,Male,0,No,No,70,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),32.54,2297.53,No
C100137,Female,1,No,No,10,Yes,Yes,DSL,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),42.63,487.47,No
C100138,Female,0,Yes,No,1,Yes,Yes,No,No,Yes,No,No,No internet service,Yes,One year,Yes,Mailed check,33.31,33.59,No
C100139,Male,1,Yes,No,64,Yes,No phone service,DSL,Yes,No,No,Yes,Yes,No,One year,Yes,Bank transfer (automatic),42.27,2721.03,Yes
C100140,Male,1,Yes,No,4,No,No,Fiber optic,No internet service,No,No,No,No,No,Month-to-month,Yes,Electronic check,58.87,218.3,Yes
C100141,Female,0,No,Yes,70,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),72.12,5122.8,No
C100142,Male,1,Yes,No,63,Yes,No,Fiber optic,No,No,Yes,No,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),65.24,4168.91,Yes
C100143,Male,1,Yes,No,35,No,Yes,No,No,No,No,Yes,Yes,No internet service,Month-to-month,Yes,Electronic check,18.11,633.23,Yes
C100144,Male,0,Yes,No,62,No,Yes,Fiber optic,No,No,No,Yes,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),65.72,4047.71,No
C100145,Female,1,No,No,62,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,48.91,2991.76,No
C100146,Male,0,No,Yes,68,Yes,No,Fiber optic,No internet service,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,75.68,5205.21,No
C100147,Female,0,Yes,No,18,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,69.49,1240.53,Yes
C100148,Female,1,Yes,No,58,Yes,No phone service,DSL,No,No,No,No,No,No,One year,No,Bank transfer (automatic),38.16,2158.6,No
C100149,Male,0,No,No,10,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,41.07,417.58,Yes
C100150,Female,0,Yes,No,28,Yes,No,No,Yes,No internet service,Yes,No,No,No,Month-to-month,Yes,Electronic check,25.44,676.04,Yes
C100151,Female,1,No,Yes,53,Yes,Yes,DSL,No,Yes,Yes,No internet service,Yes,No,Month-to-month,Yes,Electronic check,45.75,2450.86,Yes
C100152,Male,1,No,No,32,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,75.41,2387.91,Yes
C100153,Female,0,Yes,No,41,Yes,No phone service,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,No,Mailed check,45.84,1827.18,No
C100154,Female,1,No,Yes,39,Yes,Yes,No,No,Yes,No,No internet service,No internet service,No,One year,Yes,Mailed check,25.22,991.89,No
C100155,Female,0,Yes,No,62,No,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,68.86,4240.3,No
C100156,Female,1,Yes,No,15,Yes,Yes,DSL,No,No,Yes,No internet service,No,No,Month-to-month,Yes,Credit card (automatic),38.8,554.8,No
C100157,Female,1,Yes,Yes,40,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,One year,No,Electronic check,66.92,2653.61,Yes
C100158,Male,1,Yes,Yes,36,Yes,Yes,No,No,Yes,Yes,No internet service,Yes,No,Month-to-month,Yes,Electronic check,34.38,1170.92,No
C100159,Male,0,No,No,71,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,79.46,5658.35,Yes
C100160,Female,1,Yes,No,59,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,Two year,Yes,Electronic check,37.75,2237.88,No
C100161,Male,0,No,No,30,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,66.57,2017.49,Yes
C100162,Female,0,No,No,48,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Mailed check,76.38,3664.25,Yes
C100163,Female,0,No,No,29,Yes,Yes,DSL,Yes,No,No,No internet service,Yes,No internet service,Two year,No,Credit card (automatic),41.31,1207.41,No
C100164,Male,0,Yes,No,4,Yes,Yes,Fiber optic,No internet service,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,65.1,294.56,No
C100165,Female,1,Yes,No,56,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,71.15,4006.99,No
C100166,Male,0,No,Yes,19,Yes,Yes,Fiber optic,No,No internet service,No,No,Yes,Yes,One year,No,Credit card (automatic),70.36,1323.33,Yes
C100167,Male,1,No,No,72,No,Yes,No,No,No,Yes,Yes,No,Yes,One year,Yes,Mailed check,29.13,2178.28,No
C100168,Male,1,No,Yes,47,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),73.35,3411.51,Yes
C100169,Female,0,Yes,No,23,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,49.98,1145.48,No
C100170,Female,0,Yes,No,17,Yes,Yes,Fiber optic,No,No,Yes,No internet service,No,Yes,Month-to-month,No,Mailed check,60.86,1067.82,No
C100171,Female,1,No,No,18,Yes,No,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,45.47,802.0,Yes
C100172,Female,0,No,No,68,No,No phone service,DSL,No internet service,No,No internet service,No,Yes,No,One year,No,Mailed check,40.19,2676.68,No
C100173,Female,0,Yes,No,59,No,No,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,40.65,2395.39,No
C100174,Male,0,No,No,52,Yes,Yes,No,Yes,No,No,Yes,No,No,Two year,Yes,Mailed check,26.78,1404.66,No
C100175,Male,1,Yes,No,21,Yes,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),42.78,937.07,No
C100176,Female,0,No,No,50,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),57.32,2861.28,No
C100177,Male,0,No,Yes,11,No,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,60.45,677.71,No
C100178,Male,1,No,Yes,17,Yes,Yes,DSL,No,No,No,No internet service,No,No internet service,Two year,Yes,Electronic check,39.32,649.67,No
C100179,Male,1,Yes,No,41,Yes,Yes,Fiber optic,No,No internet service,Yes,No internet service,No,No,Month-to-month,No,Electronic check,70.77,2943.97,Yes
C100180,Female,1,No,Yes,53,Yes,No phone service,DSL,No internet service,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,46.94,2482.79,No
C100181,Male,1,No,No,21,Yes,No phone service,Fiber optic,Yes,No,No,No internet service,Yes,Yes,Month-to-month,No,Electronic check,73.61,1548.35,Yes
